CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
19,CAUCA,19212,CORINTO,,,,,,,,,,,,,,,,,26.70,38.91,,10.54
19,CAUCA,19256,EL TAMBO,141.00,"1,904.45","1,303.03",698.00,187.00,203.00,629.00,307.00,803.00,"1,240.00","1,284.00","1,560.00","1,514.00","1,876.00","1,297.00","2,522.00","3,468.18","5,300.28","6,661.01","7,242.99"
19,CAUCA,19290,FLORENCIA,,,,,,,,8.00,,,12.00,29.00,,,,,,,,
19,CAUCA,19318,GUAPI,,95.42,55.42,102.00,146.00,374.00,489.00,121.00,414.00,"1,434.00","1,368.00","1,022.00",984.00,396.00,182.00,191.00,256.88,525.78,720.88,678.57
19,CAUCA,19392,LA SIERRA,,,,,,,,,,4.00,,,,,,,,,,
19,CAUCA,19397,LA VEGA,,,,,,,,8.00,,1.00,,,,,,,,,,
19,CAUCA,19418,LÓPEZ,,25.05,57.97,97.00,15.00,59.00,63.00,79.00,273.00,476.00,921.00,791.00,"1,040.00",341.00,548.00,686.00,867.22,941.41,"1,467.97","1,319.76"
19,CAUCA,19450,MERCADERES,,,,,2.97,,,31.00,8.00,,75.00,137.00,420.00,17.00,21.00,120.00,95.06,140.70,126.54,25.14
19,CAUCA,19455,MIRANDA,,,,,,,,,,,,,,,,,3.67,5.98,,2.27
19,CAUCA,19473,MORALES,,,101.98,,,,9.00,10.00,118.00,29.00,32.00,55.00,32.00,76.00,17.00,70.00,155.25,166.89,340.32,309.79
19,CAUCA,19532,PATÍA  (El Bordo),,,,,,,6.00,83.00,48.00,105.00,109.00,82.00,51.00,58.00,76.00,97.00,203.53,327.96,350.34,405.01
19,CAUCA,19533,PIAMONTE,"2,828.30","1,684.77",899.15,818.00,651.00,281.00,517.00,594.00,669.00,523.00,165.00,131.00,253.00,516.00,461.00,602.00,"1,166.89","1,458.49","1,780.44","1,997.22"
19,CAUCA,19622,ROSAS,,,,,,,,,,,,,,,,,,,2.78,3.89
19,CAUCA,19701,SANTA ROSA,"1,168.00",351.70,,3.00,0.36,,229.00,135.00,,16.00,12.00,,,,,,,,,
19,CAUCA,19760,SOTARÁ (Paispamba),,,24.00,,,,,,,,,,,,,,,,,
19,CAUCA,19780,SUÁREZ,,,2.00,,,,,,32.00,32.00,4.00,1.00,,,1.00,49.00,139.65,170.45,267.19,383.53
19,CAUCA,19785,SUCRE,,,,,,,,,,,,,,,5.00,17.00,15.57,18.67,13.50,6.80
19,CAUCA,19807,TIMBÍO,,,40.92,,,,,3.00,,,,,,,,,,,,
19,CAUCA,19809,TIMBIQUÍ,,69.23,188.68,185.00,253.00,260.31,579.00,453.00,960.00,"1,050.00","1,698.00","1,581.00","1,494.00",507.00,572.00,572.00,907.47,"1,405.67","1,633.45","1,696.92"
19,CAUCA,19821,TORIBÍO,,,,,,,,,,,,,,,,,9.47,14.85,,
20,CESAR,20011,AGUACHICA,,153.10,,,,,,,,,,,,,,,,,,
20,CESAR,20178,CHIRIGUANÁ,,,,,,,,,,,,,,,,,,,2.43,
20,CESAR,20310,GONZÁLEZ,,,,,,,,,,,,,,5.00,4.00,2.00,16.22,6.58,7.78,7.10
20,CESAR,20383,LA GLORIA,,15.79,,,,,,,,,,,,,,,,,,
20,CESAR,20517,PAILITAS,,29.72,,,,,,,,5.00,,,,,,,,,,
20,CESAR,20550,PELAYA,,91.66,,,,,,,,,,,,,,,,,,
20,CESAR,20710,SAN ALBERTO,,131.42,,,,,,,,,,,,4.00,6.00,5.00,15.47,17.25,10.72,13.79
