CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2005,2006,2007,2008,2009,2010,2011
52,NARIÑO,52051,ARBOLEDA (Berruecos),,,,"304,540,440.00",,"109,867,546.00",
52,NARIÑO,52110,BUESACO,,"52,627,915.00","532,210,750.00",,"96,128,824.00",,
52,NARIÑO,52203,COLÓN (Génova),,,"1,162,848,160.00",,,"30,772,870.00",
52,NARIÑO,52207,CONSACÁ,,,,"140,348,369.00",,"192,550,020.00",
52,NARIÑO,52210,CONTADERO,,,,"10,194,756.00",,,
52,NARIÑO,52233,CUMBITARA,,,,"1,686,923,263.00",,,
52,NARIÑO,52254,EL PEÑOL,,,,"3,401,840,785.00",,,
52,NARIÑO,52256,EL ROSARIO,,,,"1,714,917,522.00",,"122,281,149.00",
52,NARIÑO,52258,EL TABLÓN,,"78,089,105.00","124,137,598.00","404,117,817.00","71,659,669.00",,
52,NARIÑO,52317,GUACHUCAL,,,,"10,194,756.00",,,
52,NARIÑO,52356,IPIALES,,,,"10,194,756.00",,,
52,NARIÑO,52378,LA CRUZ,"21,092,500.00",,"872,934,683.00",,,,"24,957,000.00"
52,NARIÑO,52381,LA FLORIDA,,,,"269,817,020.00",,"205,039,876.00",
52,NARIÑO,52399,LA UNIÓN,,"26,660,000.00","83,711,640.00",,,"316,072,742.00",
52,NARIÑO,52405,LEIVA,,,,"1,821,945,702.00",,"51,876,851.00",
52,NARIÑO,52418,LOS ANDES (Sotomayor),,,,"1,686,923,263.00",,,
52,NARIÑO,52435,MALLAMA (Piedrancha),,,,,"3,040,975,072.00",,
52,NARIÑO,52540,POLICARPA,,,,"1,686,923,263.00",,,
52,NARIÑO,52685,SAN BERNARDO,,,,,"15,730,171.00",,
52,NARIÑO,52687,SAN LORENZO,,,,"1,714,917,522.00",,"113,703,964.00",
52,NARIÑO,52693,SAN PABLO,,,,"111,360,123.00",,"33,553,774.00",
52,NARIÑO,52694,SAN PEDRO DE CARTAGO (Cartago),,"173,294,000.00","20,927,910.00",,,,
52,NARIÑO,52683,SANDONÁ,,,,"246,969,611.00",,"295,649,903.00",
52,NARIÑO,52786,TAMINANGO,,,,,,"15,408,657.00",
52,NARIÑO,52835,TUMACO,,"6,069,124,342.00","5,827,693,229.00","22,332,397,675.00","13,010,534,037.00","676,179,977.00","615,000,000.00"
54,NORTE DE SANTANDER,54206,CONVENCIÓN,,"177,604,072.00",,"626,304,641.00","38,889,600.00","549,907,434.00","20,000,000.00"
54,NORTE DE SANTANDER,54001,CÚCUTA,,,,,,,"36,640,049.00"
54,NORTE DE SANTANDER,54245,EL CARMEN,,"535,159,052.00",,"243,748,238.00","31,666,667.00","1,150,276,290.00","20,000,000.00"
54,NORTE DE SANTANDER,54250,EL TARRA,,"47,570,026.00","465,000.00","883,744.00",,,
54,NORTE DE SANTANDER,54261,EL ZULIA,,,,"54,500,000.00",,0.00,
54,NORTE DE SANTANDER,54344,HACARÍ,,"65,602,606.00",,"92,103,624.00",,"13,433,445.00","20,000,000.00"
54,NORTE DE SANTANDER,54385,LA ESPERANZA,,,,,,"55,173,000.00",
54,NORTE DE SANTANDER,54670,SAN CALIXTO,,"556,457,961.00",,"414,466,307.00","31,666,667.00","1,134,369,445.00",0.00
54,NORTE DE SANTANDER,54720,SARDINATA,,"3,700,413,005.00","1,041,339,303.00","158,146,967.00","80,000,000.00","48,597,435.00","93,148,049.00"
54,NORTE DE SANTANDER,54800,TEORAMA,,"984,680,107.00","108,000,000.00","121,240,994.00","31,666,667.00","1,134,369,445.00","20,000,000.00"
54,NORTE DE SANTANDER,54810,TIBÚ,,"5,812,671,870.00","416,849,998.00","1,079,912,640.00",,"442,916,484.00","36,640,049.00"
86,PUTUMAYO,86219,COLÓN,,,"30,776,473.00",,,,
86,PUTUMAYO,86001,MOCOA,,"61,500,000.00","1,324,532,724.00","2,445,650,108.00",,"68,396,023.00",
86,PUTUMAYO,86320,ORITO,,,"549,315,972.00",,,"19,915,287.00",
86,PUTUMAYO,86568,PUERTO ASÍS,,,"145,405,500.00",,,"25,297,287.00",
86,PUTUMAYO,86569,PUERTO CAICEDO,,,"78,804,547.00",,,"19,915,287.00",
86,PUTUMAYO,86755,SAN FRANCISCO,,,"56,512,179.00",,,,
86,PUTUMAYO,86757,SAN MIGUEL (La Dorada),,,"343,434,307.00",,,"812,123,157.00",
86,PUTUMAYO,86760,SANTIAGO,,,"35,988,871.00",,,,
86,PUTUMAYO,86749,SIBUNDOY,,,"39,610,981.00",,,,
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ (La Hormiga),,0.00,"1,470,347,248.00","6,477,053,792.00",,"770,103,143.00",
86,PUTUMAYO,86885,VILLAGARZÓN,,,"658,561,655.00","1,461,418,512.00",,"155,968,782.00",
68,SANTANDER,68101,BOLÍVAR,,,"2,210,634,825.00","627,173,150.00","39,100,000.00","30,120,550.00",
68,SANTANDER,68190,CIMITARRA,,,"1,014,697,318.00","317,576,998.00","25,360,000.00",0.00,
68,SANTANDER,68235,EL CARMEN,,,,"266,663,467.00",,0.00,
68,SANTANDER,68250,EL PEÑÓN,,,"266,389,584.00",,,,
68,SANTANDER,68271,FLORIÁN,,,,,"230,280,000.00",,
68,SANTANDER,68377,LA BELLEZA,,,"744,457,467.00",,,,
68,SANTANDER,68385,LANDÁZURI,,,"777,547,126.00","1,099,769,224.00","25,360,000.00","182,338,615.00",
68,SANTANDER,68615,RIONEGRO,,,,,,"13,433,445.00",
68,SANTANDER,68655,SABANA DE TORRES,,,"39,960,000.00","59,995,240.00","93,015,000.00",,
68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,,,,"238,878,923.00",,"21,400,000.00",
68,SANTANDER,68773,SUCRE,,,"665,382,434.00","249,983,881.00","45,900,000.00",0.00,
73,TOLIMA,73067,ATACO,,,,"6,738,659,757.00",,,
73,TOLIMA,73168,CHAPARRAL,,,0.00,"5,638,706,816.00",,,
73,TOLIMA,73483,NATAGAIMA,,,,"999,869,991.00",,,
73,TOLIMA,73504,ORTEGA,,,,"5,977,179,889.00",,,
73,TOLIMA,73555,PLANADAS,,,"51,930,866.00","4,993,617,991.00",,,
73,TOLIMA,73616,RIOBLANCO,,"16,000,000.00",0.00,"5,404,038,364.00",,,
73,TOLIMA,73622,RONCESVALLES,,,,"896,576,983.00",,,
73,TOLIMA,73624,ROVIRA,,,0.00,"6,756,989,260.00",,,
73,TOLIMA,73675,SAN ANTONIO,,,,"4,739,939,128.00",,,
76,VALLE DEL CAUCA,76109,BUENAVENTURA,,,,,,"352,677,742.00",
