CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2015
19,CAUCA,19533,PIAMONTE,798.40
19,CAUCA,19809,TIMBIQUÍ,318.00
23,CÓRDOBA,23466,MONTELÍBANO,224.54
23,CÓRDOBA,23555,PLANETA RICA,
23,CÓRDOBA,23580,PUERTO LIBERTADOR,108.88
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,99.95
23,CÓRDOBA,23807,TIERRALTA,137.77
23,CÓRDOBA,23855,VALENCIA,27.87
27,CHOCÓ,27001,QUIBDÓ,68.63
27,CHOCÓ,27025,ALTO BAUDÓ,118.73
27,CHOCÓ,27077,BAJO BAUDÓ,113.95
27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,87.27
27,CHOCÓ,27160,CÉRTEGUI,11.19
27,CHOCÓ,27205,CONDOTO,45.04
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,145.17
27,CHOCÓ,27361,ISTMINA,857.75
27,CHOCÓ,27425,MEDIO ATRATO,46.85
27,CHOCÓ,27430,MEDIO BAUDÓ,261.25
27,CHOCÓ,27450,MEDIO SAN JUAN,517.95
27,CHOCÓ,27491,NÓVITA,281.78
27,CHOCÓ,27580,RÍO IRÓ,46.39
27,CHOCÓ,27600,RÍO QUITO,3.67
27,CHOCÓ,27615,RIOSUCIO,2.44
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,129.00
27,CHOCÓ,27745,SIPÍ,47.82
27,CHOCÓ,27787,TADÓ,24.74
27,CHOCÓ,27810,UNIÓN PANAMERICANA,64.12
50,META,50325,MAPIRIPÁN,281.13
50,META,50350,LA MACARENA,"1,844.92"
50,META,50450,PUERTO CONCORDIA,9.80
50,META,50568,PUERTO GAITÁN,4.43
50,META,50577,PUERTO LLERAS,13.30
50,META,50590,PUERTO RICO,442.15
50,META,50683,SAN JUAN DE ARAMA,9.80
50,META,50689,SAN MARTÍN,
50,META,50711,VISTAHERMOSA,"1,129.17"
52,NARIÑO,52079,BARBACOAS,279.63
52,NARIÑO,52207,CONSACÁ,
52,NARIÑO,52250,EL CHARCO,"1,371.36"
52,NARIÑO,52254,EL PEÑOL,
52,NARIÑO,52256,EL ROSARIO,39.40
52,NARIÑO,52356,IPIALES,272.25
52,NARIÑO,52385,LA LLANADA,44.81
52,NARIÑO,52390,LA TOLA,290.94
52,NARIÑO,52411,LINARES,
52,NARIÑO,52418,LOS ANDES,51.91
52,NARIÑO,52427,MAGÜÍ,711.74
52,NARIÑO,52473,MOSQUERA,133.24
52,NARIÑO,52490,OLAYA HERRERA,185.31
52,NARIÑO,52520,FRANCISCO PIZARRO,43.70
52,NARIÑO,52621,ROBERTO PAYÁN,775.27
52,NARIÑO,52678,SAMANIEGO,36.87
52,NARIÑO,52683,SANDONÁ,
52,NARIÑO,52696,SANTA BÁRBARA,192.93
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,"1,076.98"
76,VALLE DEL CAUCA,76100,BOLÍVAR,
76,VALLE DEL CAUCA,76109,BUENAVENTURA,36.78
76,VALLE DEL CAUCA,76126,CALIMA,
76,VALLE DEL CAUCA,76233,DAGUA,48.96
76,VALLE DEL CAUCA,76250,EL DOVIO,
76,VALLE DEL CAUCA,76890,YOTOCO,140.51
86,PUTUMAYO,86001,MOCOA,
86,PUTUMAYO,86320,ORITO,"1,048.75"
86,PUTUMAYO,86568,PUERTO ASÍS,"3,203.98"
86,PUTUMAYO,86569,PUERTO CAICEDO,888.55
86,PUTUMAYO,86571,PUERTO GUZMÁN,351.10
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,254.11
86,PUTUMAYO,86757,SAN MIGUEL,354.89
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,"1,611.35"
86,PUTUMAYO,86885,VILLAGARZÓN,422.33
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,812.02
95,GUAVIARE,95015,CALAMAR,301.91
95,GUAVIARE,95025,EL RETORNO,519.45
95,GUAVIARE,95200,MIRAFLORES,"1,816.67"
99,VICHADA,99773,CUMARIBO,103.06
