CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2009,2010,2011,2012,2013,2014
19,CAUCA,19050,ARGELIA,85.33,,,,,
19,CAUCA,19075,BALBOA,141.07,,75.97,,,
19,CAUCA,19100,BOLÍVAR,359.95,,17.18,115.12,,
19,CAUCA,19256,EL TAMBO,28.95,211.62,135.66,695.13,,93.53
19,CAUCA,19318,GUAPÍ,"1,928.44","3,810.27","3,504.17","2,079.17",434.38,873.60
19,CAUCA,19392,LA SIERRA,,,,74.13,,
19,CAUCA,19418,LÓPEZ DE MICAY,"1,447.45","4,164.14",922.19,"1,846.93","1,523.42",543.39
19,CAUCA,19450,MERCADERES,384.41,,91.72,168.22,,
19,CAUCA,19473,MORALES,,,8.45,,,
19,CAUCA,19532,PATÍA,299.00,156.01,86.52,52.82,,
19,CAUCA,19533,PIAMONTE,430.31,363.02,"1,299.22",785.49,395.90,378.92
19,CAUCA,19622,ROSAS,,,51.15,123.69,,
19,CAUCA,19809,TIMBIQUÍ,"5,725.89","5,745.06","5,641.51","4,756.62","1,054.86","1,092.21"
23,CÓRDOBA,23001,MONTERÍA,,,,28.58,,
23,CÓRDOBA,23466,MONTELÍBANO,320.65,198.72,"1,046.80",804.13,162.47,82.65
23,CÓRDOBA,23555,PLANETA RICA,,,,,,11.09
23,CÓRDOBA,23580,PUERTO LIBERTADOR,283.77,271.78,"1,484.24",524.31,284.46,26.48
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,,,,,,8.14
23,CÓRDOBA,23807,TIERRALTA,137.89,75.30,596.93,265.55,736.40,19.12
23,CÓRDOBA,23855,VALENCIA,,,,8.89,,8.87
25,CUNDINAMARCA,25839,UBALÁ,,,,,258.02,
27,CHOCÓ,27001,QUIBDÓ,,,,39.12,135.13,29.08
27,CHOCÓ,27006,ACANDÍ,,,,,26.39,
27,CHOCÓ,27025,ALTO BAUDÓ,,,483.58,813.73,356.99,"1,399.68"
27,CHOCÓ,27077,BAJO BAUDÓ,,,257.74,983.36,539.98,540.10
27,CHOCÓ,27099,BOJAYÁ,,,,,4.98,
27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,,,135.10,133.97,354.10,208.51
27,CHOCÓ,27150,CARMEN DEL DARIÉN,,,,,55.89,
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,,,,592.99,969.59,180.40
27,CHOCÓ,27361,ISTMINA,,,"2,122.10","6,269.73","2,697.23","1,530.96"
27,CHOCÓ,27425,MEDIO ATRATO,,,,,,260.13
27,CHOCÓ,27430,MEDIO BAUDÓ,,,164.31,853.38,,568.34
27,CHOCÓ,27450,MEDIO SAN JUAN,,,,973.68,224.56,"1,852.66"
27,CHOCÓ,27491,NÓVITA,,,965.72,"1,985.21",445.98,545.69
27,CHOCÓ,27600,RÍO QUITO,,,158.77,62.97,66.84,95.05
27,CHOCÓ,27615,RIOSUCIO,,,,,815.86,
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,,,,186.56,120.67,28.04
27,CHOCÓ,27745,SIPÍ,,,,364.08,199.62,189.34
27,CHOCÓ,27787,TADÓ,,,,,,31.75
27,CHOCÓ,27800,UNGUÍA,,,,,192.40,
50,META,50325,MAPIRIPÁN,"4,428.76","3,120.72","1,209.79","2,331.14",342.01,483.79
50,META,50350,LA MACARENA,71.16,36.45,75.27,404.12,,859.66
50,META,50450,PUERTO CONCORDIA,232.16,164.36,103.86,187.89,26.79,47.32
50,META,50568,PUERTO GAITÁN,398.12,396.80,84.19,,14.05,
50,META,50577,PUERTO LLERAS,121.50,32.75,15.13,63.45,,34.10
50,META,50590,PUERTO RICO,975.09,"1,190.57","1,009.69",101.38,39.76,262.38
50,META,50683,SAN JUAN DE ARAMA,157.23,0.53,,29.81,,26.21
50,META,50689,SAN MARTÍN,,77.54,,34.17,,3.96
50,META,50711,VISTAHERMOSA,371.53,805.47,47.36,,,103.16
52,NARIÑO,52079,BARBACOAS,"5,781.91","4,376.26","6,689.22","5,795.41",676.79,"1,044.94"
52,NARIÑO,52207,CONSACÁ,,,,,,169.71
52,NARIÑO,52233,CUMBITARA,620.23,448.07,,13.89,18.56,
